ID,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,property_value,income,Credit_Score,LTV,dtir1,loan_type,loan_purpose,Credit_Worthiness,age,Region,occupancy_type,business_or_commercial,Status
33093,326500,4.25,0.6128,5266.22,360,408000,5880,535,80.0245098,37,type1,p3,l1,25-34,North,pr,nob/c,0
33094,216500,3.125,-0.6887,0,360,248000,NULL,823,87.2983871,NULL,type3,p4,l1,45-54,south,pr,nob/c,0
33095,326500,NULL,NULL,NULL,360,408000,9780,868,80.0245098,45,type1,p3,l1,45-54,south,pr,nob/c,1
33096,456500,3.25,0.4696,0,360,468000,5880,569,97.54273504,51,type2,p1,l1,25-34,central,pr,b/c,0
33097,156500,3.99,1.2166,2126.58,360,198000,3120,741,79.04040404,45,type2,p3,l1,55-64,central,pr,b/c,0
33098,446500,3.525,-0.065,0,360,558000,14520,595,80.01792115,27,type1,p4,l1,25-34,North,pr,nob/c,0
33099,106500,5.25,0.9654,1929.06,360,138000,1740,700,77.17391304,48,type1,p3,l1,55-64,North,pr,nob/c,0
33100,326500,5.125,1.0575,202.16,360,338000,5940,755,96.59763314,47,type1,p1,l1,>74,North,pr,nob/c,0
33101,266500,NULL,NULL,NULL,360,NULL,5880,552,NULL,NULL,type1,p4,l1,45-54,south,pr,nob/c,1
33102,306500,3.75,0.5529,5350.94,360,388000,3000,788,78.99484536,42,type3,p3,l1,>74,North,pr,nob/c,0
33103,456500,3.375,-0.2425,4515.86,360,638000,5460,725,71.55172414,48,type1,p4,l1,25-34,south,pr,nob/c,0
33104,336500,NULL,NULL,NULL,360,508000,3960,645,66.24015748,43,type1,p4,l1,35-44,North,pr,nob/c,1
33105,556500,3.5,0.2405,506.45,180,858000,51540,773,64.86013986,8,type1,p1,l1,35-44,North,pr,nob/c,0
33106,256500,3.375,0.8225,8082.48,180,468000,11400,638,54.80769231,31,type1,p3,l1,55-64,North,pr,nob/c,0
33107,366500,3.625,0.0489,8174.49,360,748000,10800,645,48.9973262,6,type1,p3,l1,55-64,south,pr,nob/c,0
33108,256500,NULL,NULL,NULL,360,288000,NULL,776,89.0625,NULL,type2,p4,l1,45-54,central,pr,b/c,1
33109,556500,3.75,-0.1558,459.87,360,1208000,9420,757,46.06788079,37,type1,p3,l1,65-74,central,pr,nob/c,0
33110,306500,3.75,0.1844,12254.46,360,338000,8820,566,90.68047337,44,type3,p3,l1,55-64,south,pr,nob/c,0
33111,826500,4.375,-0.0021,6187.5,360,2008000,7560,852,41.16035857,49,type1,p3,l1,>74,North,pr,nob/c,0
33112,46500,NULL,NULL,NULL,360,198000,720,883,23.48484848,48,type2,p3,l1,55-64,North,pr,b/c,1
33113,136500,4.375,0.2198,3123.13,360,228000,3360,546,59.86842105,45,type1,p4,l1,55-64,south,pr,nob/c,0
33114,726500,4.125,-0.1037,564.28,360,998000,8280,663,72.79559118,44,type1,p1,l1,45-54,North,pr,nob/c,0
33115,236500,NULL,NULL,NULL,360,NULL,2880,801,NULL,NULL,type3,p4,l1,65-74,south,pr,nob/c,1
33116,396500,5.5,1.0682,74.25,360,538000,13620,771,73.69888476,39,type1,p3,l1,>74,North,ir,nob/c,0
33117,426500,3.5,0.2868,1655.94,240,668000,6240,628,63.84730539,34,type1,p4,l1,35-44,south,pr,nob/c,0
33118,266500,3.99,0.5084,3688,360,298000,8280,538,89.4295302,43,type1,p4,l1,45-54,south,pr,nob/c,0
33119,476500,4.5,0.788,2190,360,528000,5760,846,90.24621212,43,type1,p4,l1,45-54,North,pr,nob/c,0
33120,306500,3.75,0.2273,2411.06,360,528000,3660,840,58.04924242,41,type1,p4,l1,45-54,North,pr,nob/c,0
33121,456500,3.625,0.0215,0,360,488000,6600,588,93.54508197,45,type3,p1,l1,45-54,central,pr,nob/c,0
33122,256500,4.375,0.8354,1150,180,958000,3600,873,26.77453027,47,type1,p3,l1,25-34,North,ir,nob/c,0
33123,226500,3.875,0.219,4982.63,360,558000,5040,790,40.59139785,29,type1,p3,l1,>74,North,pr,nob/c,0
33124,496500,NULL,NULL,NULL,360,NULL,9600,681,NULL,NULL,type1,p4,l1,35-44,south,pr,nob/c,1
33125,726500,3.75,0.1672,0,360,998000,13740,617,72.79559118,30,type1,p4,l1,35-44,south,pr,nob/c,0
33126,366500,4.125,0.298,1800,360,358000,8640,843,102.3743017,45,type3,p1,l1,35-44,North,pr,nob/c,0
33127,276500,4.25,0.6791,611.33,360,398000,3600,726,69.47236181,46,type1,p4,l1,35-44,North,pr,nob/c,0
33128,376500,3.75,-0.0227,1411.5,360,508000,5760,797,74.11417323,47,type1,p4,l1,35-44,North,pr,nob/c,0
33129,86500,NULL,NULL,NULL,144,NULL,1320,501,NULL,NULL,type1,p4,l1,55-64,North,pr,nob/c,1
33130,76500,4,0.2806,0,360,128000,NULL,767,59.765625,NULL,type3,p4,l1,65-74,North,pr,nob/c,0
33131,176500,4.5,0.1417,2671.5,360,258000,3480,759,68.41085271,37,type3,p3,l1,65-74,south,pr,nob/c,0
33132,156500,NULL,NULL,NULL,360,NULL,2400,677,NULL,NULL,type1,p3,l1,>74,south,pr,nob/c,1
33133,256500,4,0.4538,1267.5,360,478000,4320,637,53.66108787,24,type1,p2,l1,45-54,North,pr,nob/c,0
33134,166500,3.99,0.1316,4786.88,360,188000,2640,717,88.56382979,45,type3,p3,l1,65-74,south,pr,nob/c,0
33135,566500,4.75,0.3518,390.64,360,758000,7920,656,74.73614776,34,type1,p3,l1,45-54,North,pr,nob/c,0
33136,536500,3.625,0.0171,374.99,360,728000,7620,784,73.69505495,43,type1,p4,l1,35-44,south,pr,nob/c,0
33137,526500,NULL,NULL,NULL,360,NULL,11100,573,NULL,NULL,type1,p1,l1,45-54,North,pr,nob/c,1
33138,266500,4.875,1.1847,1150,360,278000,12360,634,95.86330935,24,type1,p1,l1,35-44,North,pr,nob/c,0
33139,426500,3.125,0.0992,5500,180,528000,10200,639,80.77651515,37,type1,p4,l1,25-34,south,pr,nob/c,0
33140,206500,3.875,0.084,2262.5,360,228000,3060,578,90.57017544,49,type1,p1,l1,65-74,North,pr,nob/c,0
33141,586500,4.375,0.8106,0,360,758000,7260,519,77.37467018,40,type1,p4,l1,45-54,North,pr,nob/c,0
33142,286500,3.625,0.0355,2163.4,360,568000,5760,764,50.44014085,38,type1,p3,l1,45-54,south,pr,nob/c,0
33143,156500,NULL,NULL,NULL,360,398000,1980,675,39.32160804,41,type1,p3,l1,55-64,North,pr,nob/c,1
33144,406500,3.375,-0.163,8293.75,360,608000,4500,599,66.85855263,44,type1,p4,l1,45-54,south,pr,nob/c,0
33145,486500,4.99,0.9792,3500,360,758000,8880,513,64.18205805,21,type1,p4,l1,25-34,south,ir,nob/c,0
33146,166500,4.25,1.8252,4599.48,360,178000,2160,729,93.53932584,44,type2,p1,l1,55-64,North,pr,b/c,0
33147,726500,2.875,-0.0866,5841.96,180,2008000,18420,567,36.18027888,20,type1,p4,l1,45-54,North,pr,nob/c,0
33148,476500,3.375,0.2882,0,240,628000,11760,533,75.87579618,36,type3,p3,l1,45-54,south,pr,nob/c,0
33149,446500,NULL,NULL,NULL,180,NULL,9960,811,NULL,NULL,type1,p4,l1,>74,south,pr,nob/c,1
33150,316500,4.375,1.1903,0,360,338000,7620,753,93.63905325,48,type1,p1,l1,45-54,North,pr,nob/c,0
33151,226500,NULL,NULL,NULL,180,608000,15480,814,37.25328947,11,type1,p4,l1,55-64,North,pr,nob/c,1
33152,486500,NULL,NULL,NULL,360,NULL,10200,755,NULL,NULL,type1,p4,l1,35-44,south,ir,nob/c,1
33153,446500,3.625,-0.0484,3404.76,360,588000,6000,717,75.93537415,38,type1,p4,l1,<25,North,pr,nob/c,0
33154,206500,3,-0.3312,1877,120,808000,8100,693,25.55693069,34,type1,p4,l1,55-64,North,pr,nob/c,0
33155,486500,NULL,NULL,NULL,360,708000,7020,772,68.71468927,59,type1,p2,l1,65-74,south,pr,nob/c,1
33156,316500,4.75,0.8393,0,240,468000,6600,596,67.62820513,22,type1,p3,l1,45-54,North,pr,nob/c,0
33157,106500,4.99,0.8019,1150,360,128000,2280,674,83.203125,43,type1,p3,l1,65-74,south,pr,nob/c,0
33158,86500,4.25,1.0514,3064.09,360,368000,1560,749,23.50543478,47,type1,p4,l1,>74,North,pr,nob/c,0
33159,226500,3.875,0.3264,5795.63,360,328000,2940,849,69.05487805,36,type1,p3,l1,35-44,south,pr,nob/c,0
33160,256500,3.99,0.2597,1250,360,378000,11280,620,67.85714286,23,type1,p4,l1,35-44,North,pr,nob/c,0
33161,206500,NULL,NULL,NULL,360,NULL,35340,581,NULL,NULL,type1,p1,l1,65-74,North,pr,nob/c,1
33162,126500,4.375,0.9965,275,360,158000,7200,603,80.06329114,33,type2,p3,l1,35-44,south,pr,b/c,0
33163,536500,4.5,0.8153,2993.4,360,648000,12300,852,82.79320988,32,type1,p4,l1,55-64,central,pr,nob/c,0
33164,86500,4.125,1.094,2540.57,180,108000,3600,780,80.09259259,33,type1,p1,l1,55-64,North,sr,nob/c,0
33165,366500,4.99,1.327,1006.95,360,498000,6600,552,73.59437751,44,type1,p3,l1,55-64,North,pr,nob/c,0
33166,206500,4.75,0.2652,400,324,228000,3120,539,90.57017544,49,type1,p1,l1,35-44,south,pr,nob/c,0
33167,66500,5.75,1.4751,1558.14,360,88000,6480,613,75.56818182,7,type1,p2,l1,35-44,south,ir,nob/c,0
33168,286500,3.99,0.4062,5980.36,360,358000,5760,506,80.02793296,36,type1,p3,l1,35-44,south,pr,nob/c,0
33169,216500,4.375,0.8148,3783.82,360,258000,5580,777,83.91472868,27,type2,p3,l1,35-44,North,pr,b/c,0
33170,466500,NULL,NULL,NULL,324,578000,13200,826,80.70934256,34,type1,p4,l1,45-54,North,pr,nob/c,1
33171,216500,4.125,0.4678,4655.81,252,288000,4980,731,75.17361111,26,type1,p4,l1,35-44,North,pr,nob/c,0
33172,476500,NULL,NULL,NULL,360,NULL,0,663,NULL,NULL,type2,p4,l2,35-44,North,pr,b/c,1
33173,686500,3.75,0.0026,818.56,360,728000,NULL,897,94.29945055,NULL,type3,p4,l1,45-54,south,pr,nob/c,0
33174,416500,3.99,0.5948,5944.47,360,658000,4500,620,63.29787234,38,type1,p3,l1,>74,south,pr,nob/c,0
33175,606500,4.375,-0.238,1940,360,858000,7200,617,70.68764569,43,type1,p4,l2,25-34,central,pr,nob/c,0
33176,136500,4.5,0.8172,2275,360,288000,2400,887,47.39583333,37,type1,p3,l1,35-44,south,pr,nob/c,0
33177,256500,3.75,-0.0475,0,360,258000,NULL,867,99.41860465,NULL,type3,p4,l1,45-54,North,pr,nob/c,0
33178,396500,3.75,0.5606,1618.65,240,508000,6000,542,78.0511811,44,type1,p3,l1,45-54,south,pr,nob/c,0
33179,316500,3.5,0.4677,3211.72,180,408000,5460,646,77.57352941,42,type1,p4,l1,55-64,south,pr,nob/c,0
33180,186500,4.25,0.7489,0,180,208000,4980,534,89.66346154,43,type1,p1,l1,45-54,North,pr,nob/c,0
33181,116500,NULL,NULL,NULL,180,228000,1380,593,51.09649123,25,type1,p2,l1,45-54,south,pr,nob/c,1
33182,206500,3.625,-0.1128,481.11,360,348000,3300,742,59.33908046,42,type1,p2,l1,55-64,central,pr,nob/c,0
33183,496500,NULL,NULL,NULL,360,NULL,6840,615,NULL,NULL,type1,p4,l1,25-34,south,pr,nob/c,1
33184,236500,NULL,NULL,NULL,324,298000,3840,824,79.36241611,40,type1,p1,l1,65-74,south,pr,nob/c,1
33185,236500,3.99,0.57,1835.64,360,248000,2520,843,95.36290323,45,type1,p1,l1,<25,south,pr,nob/c,0
33186,436500,4.5,1.1655,1944.65,360,468000,6240,607,93.26923077,38,type1,p1,l1,45-54,North,pr,nob/c,0
33187,216500,3.125,-0.5178,738.51,360,358000,NULL,616,60.47486034,NULL,type3,p4,l1,55-64,south,pr,nob/c,0
33188,226500,3.99,1.3625,1325.54,360,228000,4320,597,99.34210526,43,type2,p1,l1,35-44,North-East,pr,b/c,0
33189,286500,NULL,NULL,NULL,360,NULL,13500,580,NULL,NULL,type1,p4,l1,45-54,south,sr,nob/c,1
33190,286500,3.99,0.3586,1071.75,360,318000,6420,835,90.09433962,27,type1,p4,l1,25-34,south,pr,nob/c,0
33191,206500,NULL,NULL,NULL,360,NULL,5100,673,NULL,NULL,type1,p1,l1,45-54,central,pr,nob/c,1
33192,306500,4.75,0.134,0,360,378000,5100,709,81.08465608,45,type1,p1,l1,25-34,North,pr,nob/c,0
33193,116500,3.375,0.4313,4225,180,178000,2700,690,65.4494382,31,type1,p4,l1,45-54,south,pr,nob/c,0
33194,246500,3.375,-0.0257,6155.14,360,328000,7860,611,75.15243902,21,type1,p4,l1,55-64,North,pr,nob/c,0
33195,466500,4.125,0.1026,2292.69,360,588000,14040,517,79.33673469,26,type1,p1,l1,35-44,south,pr,nob/c,0
33196,266500,4,-0.1297,0,360,388000,4080,671,68.68556701,38,type1,p1,l2,45-54,south,pr,nob/c,0
33197,316500,4.875,0.5005,0,360,858000,5820,525,36.88811189,40,type1,p3,l1,65-74,North,ir,nob/c,0
33198,336500,4.99,0.5351,2802,360,608000,6900,873,55.34539474,40,type1,p3,l1,45-54,south,pr,nob/c,0
33199,286500,5.19,0.936,2150,360,338000,3360,811,84.76331361,47,type1,p4,l1,25-34,south,pr,nob/c,0
33200,376500,3.875,0.3832,8553.2,360,828000,3840,741,45.47101449,47,type1,p3,l1,55-64,south,pr,nob/c,0
33201,216500,3.75,-0.2344,0,360,298000,NULL,784,72.65100671,NULL,type3,p4,l1,65-74,central,pr,nob/c,0
33202,246500,3.875,0.2554,2756.25,360,418000,4920,696,58.97129187,45,type1,p1,l1,25-34,central,pr,nob/c,0
33203,146500,NULL,NULL,NULL,96,NULL,6180,538,NULL,NULL,type1,p4,l1,35-44,south,pr,nob/c,1
33204,136500,2.99,0.2307,4040.59,180,208000,3120,656,65.625,31,type1,p4,l1,35-44,North,pr,nob/c,0
33205,226500,4,0.3005,1268.06,360,238000,2280,836,95.16806723,45,type1,p1,l1,35-44,North,pr,nob/c,0
33206,226500,3.375,0.3586,NULL,180,288000,10500,740,78.64583333,16,type1,p3,l1,35-44,North,pr,nob/c,0
33207,576500,3.5,0.7866,0,360,588000,9000,563,98.04421769,39,type2,p4,l1,25-34,south,pr,b/c,0
33208,116500,4.99,1.0665,1850.32,360,148000,2640,713,78.71621622,49,type1,p1,l1,65-74,south,pr,nob/c,0
33209,116500,NULL,NULL,NULL,360,NULL,2760,689,NULL,NULL,type1,p3,l1,65-74,south,pr,nob/c,1
33210,186500,NULL,NULL,NULL,360,NULL,0,507,NULL,NULL,type2,p4,l2,45-54,south,pr,b/c,1
33211,186500,NULL,NULL,NULL,360,208000,720,507,89.66346154,16,type3,p3,l1,35-44,North,pr,nob/c,1
33212,276500,4.375,0.3219,5675,360,318000,4020,532,86.94968553,36,type1,p1,l1,65-74,North,pr,nob/c,0
33213,466500,3.625,-0.1204,0,360,808000,10020,866,57.73514851,33,type1,p4,l1,45-54,south,pr,nob/c,0
33214,446500,NULL,NULL,NULL,360,NULL,13740,857,NULL,NULL,type1,p1,l1,35-44,North,pr,nob/c,1
33215,796500,3.625,-0.1799,3125,360,1138000,15900,614,69.99121265,36,type1,p3,l1,35-44,south,pr,nob/c,0
33216,256500,4.625,0.6934,3811.25,360,298000,11100,785,86.0738255,8,type1,p3,l1,35-44,North,pr,nob/c,0
33217,166500,4,0.2696,1043.89,360,178000,3300,566,93.53932584,24,type1,p1,l1,35-44,North,pr,nob/c,0
33218,216500,4.25,0.5058,0,360,268000,4200,561,80.78358209,43,type1,p1,l1,35-44,central,pr,nob/c,0
33219,486500,4.125,0.0168,3818,360,638000,7860,851,76.2539185,22,type1,p3,l2,45-54,North,pr,nob/c,0
33220,686500,4.75,0.1673,360.48,360,1078000,8280,815,63.68274583,45,type1,p4,l1,35-44,south,pr,nob/c,0
33221,386500,NULL,NULL,NULL,360,588000,7740,770,65.73129252,30,type1,p3,l1,55-64,south,pr,nob/c,1
33222,466500,NULL,NULL,NULL,360,NULL,8760,658,NULL,NULL,type1,p3,l1,45-54,central,pr,nob/c,1
33223,616500,3.625,-0.4865,0,360,768000,NULL,867,80.2734375,NULL,type3,p4,l1,45-54,south,pr,nob/c,0
33224,276500,3.49,0.689,4776.87,360,278000,4260,749,99.46043165,37,type2,p1,l1,25-34,south,pr,b/c,0
33225,266500,NULL,NULL,NULL,360,278000,3360,701,95.86330935,60,type2,p1,l1,<25,North,pr,b/c,1
33226,756500,NULL,NULL,NULL,360,2488000,30000,693,30.40594855,6,type1,p1,l1,35-44,south,pr,nob/c,1
33227,576500,NULL,NULL,NULL,360,668000,0,624,86.30239521,11,type2,p3,l1,55-64,North,pr,b/c,1
33228,216500,3.75,0.154,817.5,360,258000,4320,555,83.91472868,21,type1,p4,l1,35-44,North,pr,nob/c,0
33229,336500,3.99,0.3736,4896.3,360,688000,7080,553,48.90988372,37,type1,p3,l1,45-54,North,ir,nob/c,0
33230,296500,3.375,0.6196,8675,180,428000,8760,694,69.27570093,43,type1,p3,l1,55-64,North,pr,nob/c,0
33231,346500,4,0.23,0,360,458000,3780,603,75.65502183,41,type1,p4,l1,25-34,south,pr,nob/c,0
33232,466500,NULL,NULL,NULL,360,NULL,5400,512,NULL,NULL,type2,p4,l1,35-44,North,pr,b/c,1
33233,406500,4.25,-0.1047,0,360,608000,11100,593,66.85855263,22,type1,p3,l1,55-64,North,pr,nob/c,0
33234,236500,3.125,-0.2201,2833.31,360,648000,3300,738,36.49691358,47,type1,p3,l1,>74,North,pr,nob/c,0
33235,196500,3.5,0.7683,0,360,238000,NULL,732,82.56302521,NULL,type2,p4,l1,35-44,North,pr,b/c,0
33236,1006500,NULL,NULL,NULL,360,1308000,16380,543,76.94954128,42,type1,p3,l1,65-74,North,pr,nob/c,1
33237,336500,3.625,0.0411,7375.5,360,478000,5460,634,70.39748954,44,type1,p4,l1,45-54,North,pr,nob/c,0
33238,166500,3.625,1.4163,1670,180,228000,3660,598,73.02631579,39,type2,p3,l1,45-54,south,pr,b/c,0
33239,106500,NULL,NULL,NULL,360,138000,1320,891,77.17391304,36,type1,p4,l1,65-74,North,pr,nob/c,1
33240,306500,NULL,NULL,NULL,360,378000,4080,873,81.08465608,44,type1,p4,l1,35-44,south,pr,nob/c,1
33241,486500,3.875,0.2403,0,360,608000,4860,632,80.01644737,45,type1,p1,l1,25-34,North,pr,nob/c,0
33242,386500,4.75,0.2959,0,360,488000,11520,770,79.20081967,9,type1,p1,l1,25-34,North,pr,nob/c,0
33243,236500,4.25,1.7005,6478.63,360,248000,5100,734,95.36290323,45,type2,p1,l1,65-74,North,pr,b/c,0
33244,656500,4.125,0.0823,4503,360,888000,14220,854,73.93018018,38,type1,p4,l1,55-64,North,pr,nob/c,0
33245,376500,3.625,0.9743,NULL,360,428000,NULL,572,87.96728972,NULL,type2,p4,l1,35-44,south,pr,b/c,0
33246,246500,3.875,0.2495,5350,144,378000,6780,690,65.21164021,35,type1,p3,l1,45-54,North,pr,nob/c,0
33247,626500,4.375,0.2436,0,360,788000,11280,612,79.50507614,22,type1,p4,l1,45-54,North,pr,nob/c,0
33248,86500,4.75,1.2725,1312.61,360,118000,1440,617,73.30508475,50,type2,p3,l1,65-74,North,pr,b/c,0
33249,146500,3.875,0.2786,3565.63,360,198000,2880,808,73.98989899,38,type1,p3,l1,35-44,North,pr,nob/c,0
33250,156500,4.875,1.0333,3909.75,360,218000,2520,743,71.78899083,35,type1,p3,l1,55-64,south,pr,nob/c,0
33251,646500,3.25,0.7453,0,360,678000,NULL,525,95.3539823,NULL,type2,p4,l1,65-74,North,pr,b/c,0
33252,166500,5.125,1.4074,4557.22,360,238000,7020,834,69.95798319,41,type1,p4,l1,65-74,North,ir,nob/c,0
33253,466500,NULL,NULL,NULL,180,NULL,14400,785,NULL,NULL,type1,p3,l1,55-64,south,ir,nob/c,1
33254,536500,4.56,0.437,1167.1,360,668000,10020,719,80.31437126,40,type1,p4,l1,45-54,North,pr,nob/c,0
33255,386500,3.99,0.8666,0,360,398000,5820,684,97.11055276,54,type2,p1,l1,35-44,south,pr,b/c,0
33256,316500,4.125,0.9635,0,360,318000,5100,815,99.52830189,47,type2,p1,l1,45-54,south,pr,b/c,0
33257,726500,3.375,-0.3462,4848.16,360,1578000,13800,639,46.03929024,30,type1,p4,l1,45-54,south,pr,nob/c,0
33258,606500,3.175,-0.3926,0,360,1208000,20460,622,50.20695364,22,type1,p4,l1,45-54,North,pr,nob/c,0
33259,376500,4.375,0.2888,0,360,478000,8340,534,78.76569038,27,type1,p3,l1,55-64,south,pr,nob/c,0
33260,316500,3.99,1.0464,3555.97,360,328000,15540,754,96.49390244,52,type2,p1,l1,45-54,south,pr,b/c,0
33261,176500,3.5,-0.179,1646.2,360,228000,NULL,634,77.4122807,NULL,type3,p4,l1,55-64,south,pr,nob/c,0
33262,386500,3.125,-0.5668,0,360,418000,NULL,719,92.46411483,NULL,type3,p4,l1,25-34,south,pr,nob/c,0
33263,276500,3.375,0.1649,7300,360,288000,3540,570,96.00694444,47,type1,p1,l1,35-44,south,pr,nob/c,0
33264,466500,NULL,NULL,NULL,360,688000,5040,517,67.80523256,48,type1,p3,l1,45-54,North,pr,nob/c,1
33265,206500,3.25,-0.3797,2529.98,360,378000,NULL,563,54.62962963,NULL,type3,p4,l1,>74,south,pr,nob/c,0
33266,126500,NULL,NULL,NULL,180,888000,20040,812,14.2454955,6,type1,p4,l1,55-64,North,pr,nob/c,1
33267,456500,4.375,0.179,1300,360,658000,7680,630,69.3768997,31,type1,p4,l2,45-54,North,pr,nob/c,0
33268,206500,5.375,0.8798,2791.19,360,328000,8220,763,62.95731707,48,type1,p4,l1,35-44,central,ir,nob/c,0
33269,466500,4.875,0.5485,46.8,360,528000,8760,719,88.35227273,35,type1,p1,l1,55-64,central,pr,nob/c,0
33270,596500,4,-0.0598,0,360,688000,13920,718,86.7005814,28,type1,p4,l1,45-54,south,pr,nob/c,0
33271,256500,4.18,0.0538,0,360,428000,10260,876,59.92990654,5,type1,p4,l1,55-64,North,pr,nob/c,0
33272,566500,2.99,-0.0338,6311.39,360,648000,7080,861,87.42283951,51,type2,p4,l1,45-54,south,pr,b/c,0
33273,326500,NULL,NULL,NULL,180,478000,5700,759,68.30543933,42,type1,p3,l1,35-44,south,pr,nob/c,1
33274,426500,4.125,0.7318,10103.99,360,618000,9840,727,69.01294498,34,type1,p3,l1,35-44,North,pr,nob/c,0
33275,136500,3.99,0.4064,4456.25,360,158000,1260,561,86.39240506,49,type1,p1,l1,25-34,North,pr,nob/c,0
33276,146500,4.75,0.4611,2600,360,188000,3780,869,77.92553191,39,type1,p4,l1,25-34,North,pr,nob/c,0
33277,146500,3.375,0.118,5727.18,180,258000,2400,680,56.78294574,40,type1,p4,l1,35-44,south,pr,nob/c,0
33278,496500,NULL,NULL,NULL,360,618000,6960,734,80.33980583,59,type1,p4,l1,35-44,south,pr,nob/c,1
33279,166500,3.5,0.0902,4853.62,360,358000,4560,603,46.50837989,38,type1,p4,l1,65-74,North,pr,nob/c,0
33280,266500,3.5,0.0165,5475,300,328000,5880,855,81.25,60,type1,p4,l1,35-44,south,pr,nob/c,0
33281,726500,4.75,0.303,NULL,324,1108000,37200,823,65.56859206,15,type1,p3,l1,55-64,south,pr,nob/c,0
33282,556500,5.125,1.3313,1250,360,1068000,10440,740,52.10674157,36,type1,p3,l1,45-54,North,pr,nob/c,0
33283,126500,4.25,-0.0317,50,360,128000,3540,562,98.828125,48,type3,p3,l1,65-74,North,pr,nob/c,0
33284,336500,NULL,NULL,NULL,240,278000,16200,853,121.0431655,20,type1,p4,l1,45-54,south,pr,nob/c,1
33285,266500,3.25,0.5362,0,360,268000,NULL,661,99.44029851,NULL,type2,p4,l1,25-34,North,pr,b/c,0
33286,366500,5.5,1.0739,538.45,360,518000,10200,665,70.75289575,39,type1,p3,l1,25-34,North,ir,nob/c,0
33287,226500,3.625,-0.2125,883.3,360,468000,6660,639,48.3974359,12,type1,p1,l1,45-54,North,pr,nob/c,0
33288,156500,3.5,1.0859,4643.54,180,208000,4020,536,75.24038462,36,type2,p3,l1,55-64,south,pr,b/c,0
33289,206500,3.99,0.9621,0,360,308000,5760,781,67.04545455,48,type2,p3,l1,55-64,North,pr,b/c,0
33290,486500,3.99,-0.1386,0,360,678000,9300,609,71.75516224,25,type1,p3,l1,35-44,south,pr,nob/c,0
33291,296500,3.99,-0.142,902.22,360,478000,3240,855,62.0292887,45,type1,p4,l1,25-34,south,pr,nob/c,0
33292,246500,NULL,NULL,NULL,180,NULL,6060,768,NULL,NULL,type1,p4,l1,65-74,North,sr,nob/c,1
33293,406500,3.75,0.2418,199.27,360,428000,8760,735,94.97663551,39,type1,p1,l1,35-44,south,pr,nob/c,0
33294,196500,NULL,NULL,NULL,360,208000,3960,536,94.47115385,15,type2,p4,l1,65-74,North,pr,b/c,1
33295,146500,3.75,0.0518,836.09,360,378000,1500,652,38.75661376,44,type1,p4,l1,45-54,North,sr,nob/c,0
33296,466500,5.25,1.4285,12710,360,578000,12960,711,80.70934256,37,type1,p3,l1,25-34,North,pr,nob/c,0
33297,206500,3.125,0.3402,999,360,218000,3240,695,94.72477064,55,type2,p1,l1,35-44,North,pr,b/c,0
33298,216500,3.125,0.2538,5375,180,378000,7200,870,57.27513228,23,type1,p4,l1,55-64,North,pr,nob/c,0
33299,326500,3.75,0.1944,6502.75,240,458000,8220,536,71.28820961,34,type1,p3,l1,35-44,North,pr,nob/c,0
33300,136500,NULL,NULL,NULL,360,NULL,2100,562,NULL,NULL,type1,p3,l1,65-74,North,pr,nob/c,1
33301,236500,4.99,0.6333,2875,360,528000,7380,689,44.79166667,44,type1,p3,l1,55-64,south,ir,nob/c,0
33302,586500,NULL,NULL,NULL,360,NULL,20280,811,NULL,NULL,type1,p4,l1,45-54,south,pr,nob/c,1
33303,776500,5.375,1.4538,19587.13,360,1178000,20040,830,65.91680815,34,type1,p3,l1,55-64,south,ir,nob/c,0
33304,486500,NULL,NULL,NULL,360,NULL,10500,886,NULL,NULL,type1,p3,l1,45-54,North,pr,nob/c,1
33305,166500,NULL,NULL,NULL,360,238000,2700,733,69.95798319,37,type2,p4,l1,55-64,North,pr,b/c,1
33306,486500,NULL,NULL,NULL,360,NULL,5640,743,NULL,NULL,type1,p4,l1,>74,North,pr,nob/c,1
33307,276500,NULL,NULL,NULL,360,318000,3360,781,86.94968553,60,type1,p1,l2,65-74,North,pr,nob/c,1
33308,486500,3.875,0.7416,6000,360,508000,12120,565,95.76771654,44,type1,p1,l1,25-34,North,pr,nob/c,0
33309,166500,NULL,NULL,NULL,360,NULL,6420,592,NULL,NULL,type1,p1,l1,35-44,south,ir,nob/c,1
33310,186500,4.5,0.194,1244.5,360,248000,6480,587,75.2016129,48,type1,p4,l1,65-74,south,pr,nob/c,0
33311,386500,NULL,NULL,NULL,360,NULL,8340,607,NULL,NULL,type2,p1,l1,25-34,North,pr,b/c,1
33312,226500,4.375,-0.1198,0,360,258000,2760,545,87.79069767,42,type1,p1,l1,35-44,North,pr,nob/c,0
33313,456500,4.5,0.251,2869.38,360,658000,10380,721,69.3768997,36,type1,p3,l1,55-64,North,pr,nob/c,0
33314,576500,4.75,1.0078,438.37,360,728000,6120,579,79.18956044,46,type1,p1,l1,35-44,North,pr,nob/c,0
33315,326500,3.625,0.0793,5594.5,360,418000,10920,577,78.11004785,19,type1,p1,l1,25-34,south,pr,nob/c,0
33316,306500,4.375,0.1721,6232,360,768000,3720,557,39.90885417,42,type1,p3,l1,55-64,south,pr,nob/c,0
33317,166500,4.625,1.3395,5246,360,228000,4740,531,73.02631579,13,type1,p3,l1,55-64,North,pr,nob/c,0
